t,V,Q
0,2.99688039514668,3.27443267233927E-5
7.00000000000044E-8,2.99803238639807,3.27629908707058E-5
1.39999999999995E-7,2.993564216287,3.27780839745354E-5
2.1E-7,2.98939042816138,3.27886049393598E-5
2.80000000000004E-7,2.98693942145993,3.27942386077572E-5
3.49999999999995E-7,2.98247412800057,3.27956384679657E-5
4.19999999999999E-7,2.97952320564737,3.27944220360763E-5
4.90000000000004E-7,2.97483223947139,3.27909392354386E-5
5.59999999999995E-7,2.97126832740988,3.27851182258239E-5
6.29999999999999E-7,2.97078783546541,3.27775383370537E-5
7.00000000000004E-7,2.96064482348239,3.27688600424372E-5
7.69999999999994E-7,2.96026901287924,3.27594007918535E-5
8.39999999999999E-7,2.9569877364972,3.27492254850256E-5
9.10000000000003E-7,2.95233297951719,3.27387929465692E-5
9.79999999999994E-7,2.94909366695875,3.27279942632809E-5
1.05E-6,2.94761022725807,3.27168363788498E-5
1.12E-6,2.94405182996498,3.27057387466236E-5
1.18999999999999E-6,2.93997121536605,3.26942610705161E-5
1.26E-6,2.93581949044684,3.2682595685616E-5
1.33E-6,2.93273630874838,3.26705966089289E-5
1.39999999999999E-6,2.93155492991874,3.26584839725817E-5
1.47E-6,2.92427853627097,3.2646378303267E-5
1.54E-6,2.92298983649899,3.26345901018699E-5
1.60999999999999E-6,2.91777977077955,3.26226837230049E-5
1.68E-6,2.91628530014505,3.26109395510041E-5
1.75E-6,2.91281192208563,3.25994224834684E-5
1.81999999999999E-6,2.90831905060414,3.25872913228362E-5
1.89E-6,2.90399177108858,3.25748426741262E-5
1.96E-6,2.90110356626766,3.25628829962948E-5
2.03000000000001E-6,2.89603103627242,3.25510368653905E-5
2.10000000000001E-6,2.8917362594345,3.25387272708413E-5
2.17E-6,2.89169008766267,3.25262600829912E-5
2.23999999999999E-6,2.88554818449275,3.25138253471248E-5
2.31000000000001E-6,2.88320713692311,3.25010986261699E-5
2.38E-6,2.88200921090693,3.24882421269906E-5
2.44999999999999E-6,2.87743419679255,3.24752929342335E-5
2.52000000000001E-6,2.87296338856478,3.24624178959142E-5
2.59E-6,2.87123509228487,3.24492184279503E-5
2.65999999999999E-6,2.867987385556,3.24360096893553E-5
2.73000000000001E-6,2.86341500961654,3.24231902652728E-5
2.8E-6,2.86027726331459,3.24098934625796E-5
2.86999999999999E-6,2.85538316452376,3.23956836252797E-5
2.94000000000001E-6,2.85344334423799,3.23821435069847E-5
3.01E-6,2.84815641224642,3.23686775441887E-5
3.07999999999999E-6,2.84737649767859,3.23549427585572E-5
3.15000000000001E-6,2.84153137895711,3.23413284890077E-5
3.22E-6,2.83964407384129,3.23274963760745E-5
3.28999999999999E-6,2.83627514003975,3.23137778174959E-5
3.36000000000001E-6,2.83427499919863,3.23005343084638E-5
3.43E-6,2.825877307461,3.22876940342152E-5
3.49999999999999E-6,2.82262097093709,3.22741770930285E-5
3.57000000000001E-6,2.82142064520823,3.22603032744578E-5
3.64E-6,2.81734267013754,3.22472080902175E-5
3.70999999999999E-6,2.81162981076132,3.22342867125369E-5
3.78000000000001E-6,2.80960185346858,3.22205681624469E-5
3.85E-6,2.80440857189907,3.22073478453781E-5
3.91999999999999E-6,2.80082523611573,3.21946790656021E-5
3.99000000000001E-6,2.79966064274568,3.21811458994846E-5
4.06E-6,2.79319437859313,3.21671678152287E-5
4.12999999999999E-6,2.79326967357857,3.21541027507244E-5
4.20000000000001E-6,2.78652605144972,3.21409774446259E-5
4.27E-6,2.78532260926814,3.21268579888167E-5
4.33999999999999E-6,2.78135483170782,3.2113109309441E-5
4.41000000000001E-6,2.77920324621456,3.21002041513857E-5
4.48E-6,2.77495810935007,3.20863581415251E-5
4.54999999999999E-6,2.77147633848445,3.20716523992073E-5
4.62000000000001E-6,2.76732173698629,3.20580126372792E-5
4.69E-6,2.76213397015609,3.20450194161867E-5
4.75999999999999E-6,2.75846009903554,3.20311432876511E-5
4.83000000000001E-6,2.75786101679633,3.20171837308633E-5
4.9E-6,2.75556720942924,3.2004343446004E-5
4.96999999999999E-6,2.74901328775532,3.19913247367772E-5
5.04000000000001E-6,2.74761774528971,3.19778657229755E-5
5.11E-6,2.74262471974153,3.1964816884463E-5
5.17999999999999E-6,2.7409158471689,3.19514737360419E-5
5.25000000000001E-6,2.73735481033301,3.19383043899362E-5
5.32E-6,2.7326391440417,3.19258348942434E-5
5.38999999999999E-6,2.72744298584958,3.19129923068467E-5
5.46000000000001E-6,2.72551947289113,3.1899157890315E-5
5.53E-6,2.72330493005366,3.18858564592032E-5
5.59999999999999E-6,2.71829823536765,3.1872573574659E-5
5.67000000000001E-6,2.71775502453757,3.1857969779573E-5
5.74E-6,2.71344322236628,3.18429511892677E-5
5.80999999999999E-6,2.70927758991976,3.18289754086103E-5
5.88000000000001E-6,2.7045648002365,3.18152893051986E-5
5.95E-6,2.7019547847137,3.18004445172087E-5
6.01999999999999E-6,2.70098229309743,3.17861999126547E-5
6.09E-6,2.69381562011923,3.17726458921269E-5
