pw,amp,Pr
3.00E-08,5.00E-01,-25.02663699
5.00E-08,5.00E-01,-25.13598922
7.00E-08,5.00E-01,-25.14970983
9.00E-08,5.00E-01,-25.14027085
1.00E-07,5.00E-01,-25.1383722
3.00E-07,5.00E-01,-25.10569265
5.00E-07,5.00E-01,-24.97875189
7.00E-07,5.00E-01,-24.95976448
9.00E-07,5.00E-01,-24.91277869
1.00E-06,5.00E-01,-24.84689662
3.00E-06,5.00E-01,-24.42819915
5.00E-06,5.00E-01,-24.20195514
7.00E-06,5.00E-01,-24.03320515
9.00E-06,5.00E-01,-23.97800433
1.00E-05,5.00E-01,-23.94495835
3.00E-05,5.00E-01,-23.58843702
5.00E-05,5.00E-01,-23.30826325
7.00E-05,5.00E-01,-23.23239656
9.00E-05,5.00E-01,-23.21809485
1.00E-04,5.00E-01,-23.13331381
3.00E-04,5.00E-01,-22.82924475
5.00E-04,5.00E-01,-22.65380785
7.00E-04,5.00E-01,-22.56241374
9.00E-04,5.00E-01,-22.38606697
0.001,5.00E-01,-22.50340049
3.00E-08,1.00E+00,-25.06542049
5.00E-08,1.00E+00,-25.03583668
7.00E-08,1.00E+00,-25.03581688
9.00E-08,1.00E+00,-25.06774606
1.00E-07,1.00E+00,-25.08504914
3.00E-07,1.00E+00,-24.82409637
5.00E-07,1.00E+00,-24.66493107
7.00E-07,1.00E+00,-24.43531961
9.00E-07,1.00E+00,-24.14558005
1.00E-06,1.00E+00,-24.02507631
3.00E-06,1.00E+00,-22.03333181
5.00E-06,1.00E+00,-20.34253921
7.00E-06,1.00E+00,-18.84301797
9.00E-06,1.00E+00,-17.4944666
1.00E-05,1.00E+00,-16.89234577
3.00E-05,1.00E+00,-9.71292557
5.00E-05,1.00E+00,-6.435538976
7.00E-05,1.00E+00,-4.559483792
9.00E-05,1.00E+00,-3.279329655
1.00E-04,1.00E+00,-2.830088363
3.00E-04,1.00E+00,0.586685795
5.00E-04,1.00E+00,1.719479551
7.00E-04,1.00E+00,2.409643689
9.00E-04,1.00E+00,2.799444402
0.001,1.00E+00,2.981769062
3.00E-08,1.50E+00,-25.35903949
5.00E-08,1.50E+00,-25.20863113
7.00E-08,1.50E+00,-25.1927451
9.00E-08,1.50E+00,-25.20284196
1.00E-07,1.50E+00,-25.20554124
3.00E-07,1.50E+00,-24.77425985
5.00E-07,1.50E+00,-24.36619802
7.00E-07,1.50E+00,-23.85413261
9.00E-07,1.50E+00,-23.2789307
1.00E-06,1.50E+00,-23.02239066
3.00E-06,1.50E+00,-17.47606986
5.00E-06,1.50E+00,-12.3249307
7.00E-06,1.50E+00,-7.689625103
