pw,amp,P,delP
2.02E-07,0.6,-22.85008076,-0.127580756
3.03E-07,0.6,-22.9653665,-0.242866495
4.55E-07,0.6,-22.88457067,-0.162070672
6.87E-07,0.6,-22.70605342,0.016446581
1.02E-06,0.6,-22.82101981,-0.098519808
1.53E-06,0.6,-22.74022398,-0.017723985
2.30E-06,0.6,-22.75746894,-0.034968943
3.45E-06,0.6,-22.7747139,-0.052213901
5.17E-06,0.6,-23.0860812,-0.363581203
7.69E-06,0.6,-22.6128029,0.109697096
1.15E-05,0.6,-22.82612943,-0.103629425
1.73E-05,0.6,-22.7453336,-0.022833602
2.61E-05,0.6,-22.86093869,-0.138438693
3.88E-05,0.6,-22.68178274,0.040717263
5.78E-05,0.6,-22.50262678,0.219873218
8.73E-05,0.6,-22.61823187,0.104268127
1.30E-04,0.6,-22.34103514,0.381464863
1.95E-04,0.6,-22.45632088,0.266179124
2.94E-04,0.6,-22.27780362,0.444696377
4.38E-04,0.6,-22.19668845,0.525811551
6.52E-04,0.6,-21.91949171,0.803008287
9.84E-04,0.6,-21.83901524,0.883484759
2.02E-07,0.7,-22.65399919,0.068500806
3.03E-07,0.7,-22.76928493,-0.046784933
4.58E-07,0.7,-22.68880846,0.033691539
6.87E-07,0.7,-22.70605342,0.016446581
1.02E-06,0.7,-22.62493825,0.097561755
1.53E-06,0.7,-22.74022398,-0.017723985
2.30E-06,0.7,-22.65942816,0.063071838
3.45E-06,0.7,-22.7747139,-0.052213901
5.17E-06,0.7,-22.79195886,-0.06945886
7.69E-06,0.7,-22.41672134,0.305778658
1.15E-05,0.7,-22.4339663,0.2885337
1.73E-05,0.7,-22.2551297,0.467370304
2.59E-05,0.7,-22.17433387,0.548166126
3.88E-05,0.7,-21.89745649,0.825043512
5.78E-05,0.7,-21.71830053,1.004199467
8.73E-05,0.7,-21.73586484,0.986635157
1.31E-04,0.7,-21.2629059,1.459594105
1.95E-04,0.7,-20.88766838,1.834831622
2.92E-04,0.7,-20.80687255,1.915627445
4.38E-04,0.7,-20.52999517,2.19250483
6.56E-04,0.7,-19.95899544,2.763504559
9.91E-04,0.7,-19.29027428,3.432225717
2.02E-07,0.8,-22.55595841,0.166541587
3.03E-07,0.8,-22.47516259,0.24733741
4.55E-07,0.8,-22.49240755,0.230092452
6.87E-07,0.8,-22.50997186,0.212528143
1.02E-06,0.8,-22.42885668,0.293643317
1.54E-06,0.8,-22.34838021,0.374119789
2.30E-06,0.8,-22.36530582,0.357194181
3.44E-06,0.8,-22.08842843,0.634071567
5.16E-06,0.8,-22.00763261,0.714867389
7.68E-06,0.8,-21.53435431,1.188145688
1.15E-05,0.8,-21.55159927,1.17090073
1.74E-05,0.8,-20.88287811,1.839621888
2.59E-05,0.8,-20.40959981,2.312900187
3.88E-05,0.8,-19.83860008,2.883899915
5.77E-05,0.8,-19.16924022,3.553259776
8.65E-05,0.8,-18.50019971,4.222300286
1.30E-04,0.8,-17.53703686,5.185463139
1.94E-04,0.8,-16.47583323,6.246666773
2.91E-04,0.8,-15.21854803,7.50395197
4.33E-04,0.8,-14.15702505,8.565474955
6.54E-04,0.8,-12.9000592,9.8224408
9.81E-04,0.8,-11.93689635,10.78560365
2.04E-07,0.9,-22.45823698,0.264263018
3.03E-07,0.9,-22.76928493,-0.046784933
4.58E-07,0.9,-22.59076768,0.13173232
6.87E-07,0.9,-22.31389029,0.408609705
1.02E-06,0.9,-21.93865278,0.783847222
1.53E-06,0.9,-21.66177539,1.060724608
2.30E-06,0.9,-21.28685723,1.435642774
3.44E-06,0.9,-20.81389828,1.908601721
5.16E-06,0.9,-20.34093933,2.381560669
7.74E-06,0.9,-19.2797357,3.442764303
1.15E-05,0.9,-18.12017193,4.602328069
1.72E-05,0.9,-17.0589683,5.663531704
2.58E-05,0.9,-15.50756076,7.214939243
3.87E-05,0.9,-13.76007165,8.962428346
5.76E-05,0.9,-12.20834476,10.51415524
8.69E-05,0.9,-10.46117501,12.26132499
1.30E-04,0.9,-8.811726691,13.91077331
1.95E-04,0.9,-6.966196808,15.75630319
2.92E-04,0.9,-5.708911612,17.01358839
4.35E-04,0.9,-3.863062377,18.85943762
6.47E-04,0.9,-2.409376267,20.31312373
9.84E-04,0.9,-1.348811335,21.37368866
2.04E-07,1,-22.45823698,0.264263018
3.06E-07,1,-22.47548194,0.247018059
4.58E-07,1,-22.19860456,0.523895444
6.92E-07,1,-21.5298834,1.192616603
1.02E-06,1,-20.95824497,1.764255034
1.53E-06,1,-19.99508211,2.727417887
